Emplyee name,Due for promotion,Emplyee name,Will be retrenched,sev status,NAMES ELIGIBLE FOR SEVERANCE,
Adelaide L Harrop,1,Abbey Schindler,0,0,Adelaide L Harrop,0
Aiko Blossom,1,Abe J Macleod,0,0,Alexis Q Grose,
Alexis Q Grose,1,Abe Morales,0,0,America V Lobel,
Aliza X Sammons,1,Abe X Paro,0,0,Amiee Z Chaffins,
America V Lobel,1,Abram Q Keffer,0,0,Andrew Detweiler,
Amiee Z Chaffins,1,Abram S Manrique,0,0,Brendon E Mone,
Andrew Detweiler,1,Adalberto W Creek,1,0,Buck H Rancourt,
Brendon E Mone,1,Adam B Katzer,0,0,Candelaria Zajicek,
Buck H Rancourt,1,Adelaide L Harrop,1,1,Carlotta T Ryles,
Candelaria Zajicek,1,Adele M Burnam,0,0,Carmelia E Bergeron,
Carlotta T Ryles,1,Adelia Abbas,0,0,Christie Rodger,
Carmelia E Bergeron,1,Adelia U Villagomez,0,0,Deanna P Scoggin,
Carolin T Loya,1,Adell W Trower,0,0,Detra D Rymer,
Carolynn V Moynihan,1,Adella U Foushee,0,0,Devin Hales,
Cecily D Houser,1,Adelle E Brunner,0,0,Dulce E Grizzard,
Celine Baskin,1,Adria M Melendrez,0,0,Edmund Mcclung,
Christie Rodger,1,Adriana O Medved,0,0,Elsy B Latta,
Clemente S Wiechmann,1,Agnes Blow,0,0,Fernando S Korhonen,
Deanna P Scoggin,1,Agnes D Doud,0,0,Garnett Dryer,
Detra D Rymer,1,Ahmad V Lynde,0,0,Garrett S Nolette,
Devin Hales,1,Ahmed C Minch,0,0,Inocencia Z Buteau,
Dulce E Grizzard,1,Ahmed I Strope,0,0,Jamaal Z Resto,
Edmund Mcclung,1,Ahmed V Lease,0,0,Jamel Meaney,
Elsy B Latta,1,Aiko Blossom,0,1,Janie P Caswell,
Fernando S Korhonen,1,Aileen F Hiltz,0,0,Jayson S Carrol,
Garnett Dryer,1,Aileen Hiltz,0,0,Jolanda Dewees,
Garrett S Nolette,1,Akiko S Godby,0,0,Jon Arvizu,
Inocencia Z Buteau,1,Al Fegley,0,0,Jordan Phu,
Jamaal Z Resto,1,Alanna L Tyrell,0,0,Julius Q Stock,
Jamel Meaney,1,Albert Z Dunford,0,0,Keira Y Till,
Janie P Caswell,1,Alda F Penning,0,0,Ken X Weisberg,
Jayson S Carrol,1,Alden Cauley,0,0,Kenton Q Villalta,
Jeff E Lucero,1,Alden Y Cauley,0,0,Larry K Mash,
Jeneva Y Bybee,1,Alease Lander,0,0,Laurena P Caston,
Jerlene P Dunnigan,1,Alease Y Lander,0,0,Loren H Mckenzie,
Jolanda Dewees,1,Alec Mcnees,0,0,Maximina K Frates,
Jon Arvizu,1,Aleisha H Mathew,0,0,Narcisa C Rayburn,
Jon Behler,1,Alesia B Bear,0,0,Nettie T Mccandless,
Jordan Phu,1,Alexis C Amaral,0,0,Patria D Riedel,
Julius Q Stock,1,Alexis D Bonelli,0,0,Reinaldo G Castellanos,
Kaye Tubbs,1,Alexis Q Grose,1,1,Scott D Torrey,
Keira Y Till,1,Alfonzo Knupp,0,0,Stephan Q Ranger,
Ken X Weisberg,1,Alfred L Strausbaugh,0,0,Stewart Mazurek,
Kendrick C Burchette,1,Alina L Prowell,0,0,Susana H Hooks,
Kenton Q Villalta,1,Alise Baltzell,0,0,Taneka Q Church,
Kylie K Freda,1,Alise O Baltzell,0,0,Taylor Thill,
Larry K Mash,1,Alisha D Coppock,0,0,Therese Q Belden,
Laurena P Caston,1,Aliza X Sammons,0,1,Tiny Q Llanos,
Loren H Mckenzie,1,Allen L Vachon,0,0,Toney W Bollman,
Mack L Lykes,1,Allene T Lepe,0,0,Toya B Rawlins,
Mauricio I Streets,1,Alline V Kushner,0,0,Valene Z Woodmansee,
Maximina K Frates,1,Allyn O Farrior,1,0,Vaughn Garica,
Narcisa C Rayburn,1,Allyson I Ours,0,0,Vernell X Amado,
Nettie T Mccandless,1,Almeda M Dunford,0,0,Walton S Keim,
Patria D Riedel,1,Alonzo W Stanford,0,0,,
Reinaldo G Castellanos,1,Alphonso Laffoon,0,0,,
Renaldo K Cheatham,1,Alphonso U Laffoon,0,0,,
Scott D Torrey,1,Alysia Basil,0,0,,
Sheryll X Broadbent,1,Amada J Knouse,0,0,,
Stephan Q Ranger,1,Amado C Bonet,0,0,,
Stewart Mazurek,1,Amelia H Burbank,0,0,,
Susana H Hooks,1,America V Lobel,1,1,,
Taneka Q Church,1,Amiee Z Chaffins,1,1,,
Taylor Thill,1,Analisa X Birdsell,0,0,,
Therese Q Belden,1,Andre Q Maxon,0,0,,
Tiny Q Llanos,1,Andrea Rhymes,0,0,,
Toney W Bollman,1,Andreas L Kennard,0,0,,
Toya B Rawlins,1,Andreas T Viles,0,0,,
Valene Z Woodmansee,1,Andres P Towles,0,0,,
Vaughn Garica,1,Andres S Garner,0,0,,
Vernell X Amado,1,Andrew D Hersey,0,0,,
Walton S Keim,1,Andrew Detweiler,1,1,,
,,Andrew P Detweiler,0,0,,
,,Andria Z Reza,0,0,,
,,Angel F Palomino,0,0,,
,,Angel Ferebee,0,0,,
,,Angela P Lorenzen,0,0,,
,,Angelo B Fitzmaurice,0,0,,
,,Anibal F Pieper,0,0,,
,,Anisha Jasmin,0,0,,
,,Annabelle E Encinas,0,0,,
